model,RMSE,MAE,MAPE,R2,Skill,city,horizon
BiLSTM_h1,38.093,22.177,25.439,0.9872,65.62,riyadh,1
BiLSTM_h1,40.574,19.416,18.073,0.984,60.61,cairo,1
BiLSTM_h1,37.68,23.392,40.737,0.9793,52.82,istanbul,1
BiLSTM_h1,54.44,30.896,34.935,0.9538,37.14,new_delhi,1
BiLSTM_h1,34.705,18.428,29.363,0.9862,64.98,dubai,1
BiLSTM_h1,41.407,22.437,29.216,0.9564,28.7,london,1
BiLSTM_h1,60.494,33.865,28.636,0.9537,34.76,sydney,1
BiLSTM_h1,46.015,26.402,28.295,0.9642,43.12,tokyo,1
BiLSTM_h1,49.663,26.418,23.985,0.9743,49.04,los_angeles,1
BiLSTM_h1,52.124,30.681,42.106,0.9707,50.25,nairobi,1
